ensembl	symbol	DM_48h_1	DM_48h_2	DM_48h_3	GiB_48h_1	GiB_48h_2	GiB_48h_3
ENSG00000095539	SEMA4G	198.5387104	172.2863829	170.2876624	193.2905366	172.4629958	151.4881178
ENSG00000095564	BTAF1	2346.299166	2226.081437	2180.945691	2218.177265	2289.91327	2138.579402
ENSG00000095574	IKZF5	670.1961474	674.9728475	754.6612017	758.0616527	757.8881873	758.0675658
ENSG00000095585	BLNK	0	0.900256691	0.924026799	0.989009066	0.974383955	0
ENSG00000095587	TLL2	6.656614369	4.460824484	2.789554005	4.868689722	5.820664666	1.973290713
ENSG00000095596	CYP26A1	18.04132967	6.978450174	19.17863111	14.45991811	4.854439484	18.06435361
ENSG00000095627	TDRD1	1.923181099	0	7.291240338	3.968660634	0	0.995642763
ENSG00000095637	SORBS1	137.5851263	71.56151232	73.7528852	71.74827375	140.8075251	72.17166471
ENSG00000095713	CRTAC1	132.2013714	134.559958	134.1503907	121.0914725	186.7107174	98.42591543
ENSG00000095739	BAMBI	65.2208671	56.14877148	85.74082136	62.08597975	72.45453663	85.21534539
ENSG00000095752	IL11	23.49357972	20.21767102	27.05169629	20.69579955	36.41086994	18.15854624
ENSG00000095777	MYO3A	0	0	0	0	0	0
ENSG00000095787	WAC	2103.285733	1971.965685	1810.909298	1781.231722	1728.215818	1964.418597
ENSG00000095794	CREM	538.8982393	441.2247806	403.7756652	355.4922702	394.2793778	416.7410606
ENSG00000095906	NUBP2	602.4526926	772.0164278	849.8433949	701.7113035	786.7042132	657.3327315
ENSG00000095932	SMIM24	0	0.521746515	0	0	1.00637941	1.590668781
ENSG00000095951	HIVEP1	1712.835484	1671.331118	1790.328274	1790.433492	1753.756007	1828.576494
ENSG00000096060	FKBP5	2214.29956	2215.940614	2112.872933	2383.385495	2500.70322	2539.260088
ENSG00000096063	SRPK1	4252.56219	3827.045695	3708.888662	4083.870625	4074.975725	4418.068047
ENSG00000096070	BRPF3	1051.973615	1354.933346	1564.012565	1426.240232	1559.834494	1143.66163
ENSG00000096080	MRPS18A	930.2451276	673.319078	676.1605338	723.9706551	704.8928618	817.9360015
ENSG00000096092	TMEM14A	346.996681	427.8199069	391.1246821	412.888742	464.3480242	339.0646888
ENSG00000096093	EFHC1	179.4355578	140.3994523	156.3191766	138.9657452	136.2506313	168.7985587
ENSG00000096384	HSP90AB1	79686.09845	58863.36362	59792.67633	61339.00062	61997.17657	82325.6985
ENSG00000096401	CDC5L	2320.20236	2168.077517	2208.065867	2428.753039	2183.055311	2366.960159
ENSG00000096433	ITPR3	3569.614244	5078.254624	4813.936723	4959.404273	5031.516154	4146.852165
ENSG00000096654	ZNF184	443.3393299	349.1595146	424.3703592	413.9253539	409.1240411	372.1239742
ENSG00000096696	DSP	185.2685413	316.0659834	337.4201402	324.4900207	263.4402984	312.7945965
ENSG00000096717	SIRT1	724.3483398	697.4033953	717.0495529	714.2402918	687.5438591	757.2846779
ENSG00000096746	HNRNPH3	6295.611022	5158.892364	4966.646737	5370.170109	5473.665974	6403.11047
ENSG00000096872	IFT74	325.3389153	253.3754345	244.6252493	279.1629043	233.3918626	315.9617501
ENSG00000096968	JAK2	406.4115037	700.1926137	538.5406531	585.2082536	558.4096182	517.7561098
ENSG00000096996	IL12RB1	0	0.900086451	3.854734071	1.942844861	1.98238733	0
ENSG00000097007	ABL1	5868.104338	6526.892776	6444.256162	6512.992832	6670.575167	5544.879784
ENSG00000097021	ACOT7	1054.310261	1077.661186	1058.714165	988.8026897	1105.016775	1021.099508
ENSG00000097033	SH3GLB1	9721.881414	6141.662732	6005.845324	6185.785764	5976.741399	9304.50983
ENSG00000097046	CDC7	462.395046	461.5469873	429.2341667	607.3169681	479.5980005	599.6530628
ENSG00000097096	SYDE2	34.93243435	37.48094049	42.89679877	51.69514965	68.59469269	52.13744388
ENSG00000099139	PCSK5	474.7862186	590.3002861	610.3542565	540.962996	522.1041478	537.3975018
ENSG00000099194	SCD	14642.71229	13138.21852	13566.50584	14592.81127	14447.81788	16558.35931
ENSG00000099203	TMED1	568.0727104	529.4341125	583.7785523	463.0200568	567.0477883	477.8168639
ENSG00000099204	ABLIM1	13552.71155	13379.19344	14002.18883	12558.67513	12735.83083	12820.29671
ENSG00000099219	ERMP1	254.730042	445.8563373	369.940506	533.5183306	426.1917575	396.5565123
ENSG00000099246	RAB18	3850.629366	2068.180404	2090.53021	2077.732315	1772.253125	3814.686251
ENSG00000099250	NRP1	19499.53221	18531.31808	18477.07619	16938.58622	17223.69119	18750.69027
ENSG00000099256	PRTFDC1	389.4228153	321.4267817	254.6708606	269.8572443	292.6375234	408.0371642
ENSG00000099260	PALMD	5326.07818	4066.580228	4173.230775	4404.152375	4353.709579	5441.239823
ENSG00000099282	TSPAN15	2277.815991	2253.180097	2207.203785	1782.733181	1795.621887	1695.711449
ENSG00000099284	MACROH2A2	6.052181753	0.580072474	0	2.995761222	0	6.157312165
ENSG00000099290	WASHC2A	2785.80278	2740.490315	2724.816815	2674.010916	2646.502397	2835.381598
ENSG00000099308	MAST3	101.6592768	164.0329554	173.3962818	181.2015366	145.4092081	109.9169294
ENSG00000099326	MZF1	135.3641045	204.1525768	219.7789101	205.6671844	189.0783077	105.6488666
ENSG00000099330	OCEL1	36.2744898	35.04775518	25.21096539	24.37017012	50.03961795	10.2448033
ENSG00000099331	MYO9B	3471.530142	4815.57694	4631.705001	4625.193693	4801.887504	3773.779881
ENSG00000099337	KCNK6	327.9997354	464.1920787	439.8714793	375.837562	402.7592909	313.2314647
