ensembl	symbol	A549-DMSO-A	A549-DMSO-B	A549-DMSO-C	A549-DMSO-D	A549-GiB-B	A549-GiB-C	A549-GiB-D
ENSG00000179271	GADD45GIP1	2173	1867	2266	1680	1738	1865	1501
ENSG00000179284	DAND5	20	20	28	14	14	16	14
ENSG00000179292	TMEM151A	189	167	212	141	171	167	138
ENSG00000179295	PTPN11	8331	6498	9157	4609	6578	7476	5778
ENSG00000179299	NSUN7	77	60	61	60	63	50	49
ENSG00000179304	FAM156B	140	227	443	464	228	484	226
ENSG00000179314	WSCD1	423	357	489	333	341	312	286
ENSG00000179331	RAB39A	20	18	11	4	20	18	6
ENSG00000179335	CLK3	1358	1175	1326	1043	1050	1117	896
ENSG00000179348	GATA2	270	204	259	198	217	253	183
ENSG00000179361	ARID3B	269	238	299	225	221	228	174
ENSG00000179363	TMEM31	1	1	0	0	0	3	0
ENSG00000179364	PACS2	1098	1010	1363	856	965	1059	697
ENSG00000179387	ELMOD2	1375	1267	1443	985	1198	1261	1035
ENSG00000179388	EGR3	3	3	0	3	0	2	4
ENSG00000179397	CATSPERE	5	7	11	8	5	5	2
ENSG00000179399	GPC5	1	2	2	0	0	1	4
ENSG00000179403	VWA1	1452	1262	1524	1114	1086	1146	877
ENSG00000179407	DNAJB8	0	0	1	0	0	0	0
ENSG00000179409	GEMIN4	4334	3676	4375	3098	3639	3716	2956
ENSG00000179431	FJX1	949	828	1058	732	859	886	700
ENSG00000179454	KLHL28	575	531	580	382	455	461	396
ENSG00000179455	MKRN3	190	167	212	154	168	167	135
ENSG00000179456	ZBTB18	843	762	894	608	646	729	533
ENSG00000179476	C14orf28	159	149	178	103	141	135	113
ENSG00000179477	ALOX12B	23	18	30	19	23	19	17
ENSG00000179520	SLC17A8	1	1	4	1	0	4	0
ENSG00000179526	SHARPIN	1401	1230	1319	1028	1115	1128	839
ENSG00000179528	LBX2	87	46	103	50	48	55	56
ENSG00000179532	DNHD1	584	545	681	357	408	480	402
ENSG00000179542	SLITRK4	1	0	0	0	0	1	0
ENSG00000179546	HTR1D	774	680	838	632	653	671	546
ENSG00000179562	GCC1	1395	1290	1536	1004	1245	1219	1006
ENSG00000179564	LSMEM2	5	1	1	4	3	3	3
ENSG00000179580	RNF151	2	0	1	0	1	1	0
ENSG00000179583	CIITA	68	82	85	64	77	62	52
ENSG00000179588	ZFPM1	540	461	683	390	467	428	345
ENSG00000179593	ALOX15B	1	2	0	0	0	0	0
ENSG00000179598	PLD6	361	311	330	274	350	351	268
ENSG00000179603	GRM8	0	0	0	0	0	2	0
ENSG00000179604	CDC42EP4	5629	4662	5579	3938	4347	4426	3642
ENSG00000179615	OR2AP1	1	0	0	0	0	0	0
ENSG00000179627	ZBTB42	350	313	381	244	304	267	228
ENSG00000179630	LACC1	333	310	349	229	265	286	265
ENSG00000179632	MAF1	7927	6911	8434	6091	6410	6564	5170
ENSG00000179639	FCER1A	2	2	3	0	0	1	2
ENSG00000179673	RPRML	9	6	11	5	9	6	2
ENSG00000179674	ARL14	45	32	31	32	29	34	28
ENSG00000179698	WDR97	0	0	0	11	0	0	52
ENSG00000179709	NLRP8	0	0	0	0	0	0	1
ENSG00000179715	PCED1B	3267	2733	3319	2560	2489	2616	2046
ENSG00000179750	APOBEC3B	1219	943	1142	862	906	938	822
ENSG00000179761	PIPOX	6	2	9	0	9	7	0
ENSG00000179772	FOXS1	16	7	7	14	3	7	4
ENSG00000179774	ATOH7	10	6	16	7	10	6	9
ENSG00000179776	CDH5	19	25	19	23	16	18	9
ENSG00000179820	MYADM	8442	7066	9154	6865	6755	7088	5753
ENSG00000179826	MRGPRX3	12	4	11	10	8	5	5
ENSG00000179832	MROH1	672	598	826	464	535	525	438
ENSG00000179833	SERTAD2	1282	1169	1363	940	992	1071	909
ENSG00000179841	AKAP5	234	181	215	132	166	172	129
ENSG00000179846	NKPD1	36	35	40	29	26	35	12
ENSG00000179855	GIPC3	17	3	4	4	4	5	7
ENSG00000179859	RNF227	246	247	221	168	178	182	166
ENSG00000179862	CITED4	531	426	611	483	445	478	378
ENSG00000179869	ABCA13	8	7	13	4	7	4	5
ENSG00000179873	NLRP11	2	1	1	2	1	0	0
ENSG00000179886	TIGD5	1005	893	1072	778	869	847	637
ENSG00000179889	PDXDC1	6045	5282	6188	4137	4962	5066	3913
ENSG00000179909	ZNF154	27	19	22	20	23	23	14
ENSG00000179912	R3HDM2	2506	2090	2313	1874	2045	2006	1556
ENSG00000179913	B3GNT3	1321	1202	1195	934	1005	1059	820
ENSG00000179914	ITLN1	0	1	1	0	0	1	0
ENSG00000179915	NRXN1	2	0	0	0	0	0	0
ENSG00000179918	SEPHS2	4733	4065	4688	3307	3679	3847	3116
ENSG00000179921	GPBAR1	5	8	5	5	6	1	8
ENSG00000179922	ZNF784	400	406	385	311	366	347	274
ENSG00000179933	C14orf119	2204	1873	2046	1567	1691	1846	1456
ENSG00000179938	GOLGA8J	9	0	3	6	4	0	0
ENSG00000179941	BBS10	616	562	564	379	489	519	412
ENSG00000179943	FIZ1	1540	1316	1419	1010	1256	1243	1033
ENSG00000179950	PUF60	8417	7261	8231	6098	6483	6695	5309
ENSG00000179954	SSC5D	64	55	40	44	24	45	45
ENSG00000179958	DCTPP1	4134	3741	3777	2989	3326	3285	2705
ENSG00000179965	ZNF771	448	394	433	298	375	358	298
ENSG00000179981	TSHZ1	730	616	797	487	582	585	522
ENSG00000179988	PSTK	58	52	59	40	58	60	48
ENSG00000180008	SOCS4	2166	1998	2222	1482	1797	1885	1606
ENSG00000180011	PTGR3	1031	943	1101	697	863	877	709
ENSG00000180035	ZNF48	980	828	964	654	810	750	645
ENSG00000180044	C3orf80	186	168	172	136	136	141	93
ENSG00000180053	NKX2-6	1	0	0	0	0	0	0
ENSG00000180061	TMEM150B	1	3	8	0	4	3	10
ENSG00000180071	ANKRD18A	465	404	492	353	389	378	350
ENSG00000180089	TMEM86B	12	37	68	32	0	35	20
ENSG00000180096	SEPTIN1	102	75	115	95	104	84	97
ENSG00000180098	TRNAU1AP	323	273	272	227	232	239	210
ENSG00000180104	EXOC3	2507	2141	2535	1970	2036	2059	1675
ENSG00000180113	TDRD6	3	2	2	2	3	4	4
ENSG00000180155	LYNX1	343	274	317	208	268	254	163
ENSG00000180176	TH	0	3	2	1	0	1	0
ENSG00000180182	MED14	3348	2857	3313	2193	2643	2769	2214
ENSG00000180185	FAHD1	1980	1646	1891	1447	1636	1657	1279
ENSG00000180190	TDRP	1004	935	1123	713	807	875	688
ENSG00000180198	RCC1	4344	3738	4147	3127	3701	3728	2946
ENSG00000180209	MYL11	0	0	0	2	0	0	0
ENSG00000180210	F2	74	85	73	57	79	52	48
ENSG00000180219	GARIN6	0	0	0	0	0	0	2
ENSG00000180228	PRKRA	1321	1248	1273	902	1069	1134	872
ENSG00000180233	ZNRF2	892	705	1018	601	677	739	580
ENSG00000180245	RRH	5	2	5	6	4	1	1
ENSG00000180251	SLC9A4	13	18	11	8	13	13	15
ENSG00000180257	ZNF816	0	0	0	1	0	0	2
ENSG00000180263	FGD6	3644	3255	3864	2377	2847	2883	2381
ENSG00000180264	ADGRD2	3	0	8	0	0	0	0
ENSG00000180287	PLD5	635	574	629	487	475	548	406
ENSG00000180304	OAZ2	2898	2789	2725	2226	2330	2443	1969
