ensembl	symbol	A375MA2-DMSO-A	A375MA2-DMSO-B	A375MA2-DMSO-C	A375MA2-DMSO-D	A375MA2-GiB-A	A375MA2-GiB-B	A375MA2-GiB-D
ENSG00000147679	UTP23	1038	1665	991	934	1461	1348	1790
ENSG00000147684	NDUFB9	3633	6385	4073	4146	5865	5895	7473
ENSG00000147687	TATDN1	715	1254	711	713	864	930	1122
ENSG00000147689	FAM83A	0	0	0	0	1	0	0
ENSG00000147697	GSDMC	1	8	0	1	0	2	1
ENSG00000147724	FAM135B	1	5	2	4	1	0	2
ENSG00000147789	ZNF7	834	1356	746	744	925	989	1202
ENSG00000147799	ARHGAP39	205	321	199	168	257	248	312
ENSG00000147804	SLC39A4	31	56	32	22	30	19	41
ENSG00000147813	NAPRT	626	1117	738	678	990	833	970
ENSG00000147852	VLDLR	243	494	204	266	349	375	414
ENSG00000147853	AK3	1748	2923	1728	1649	2067	1966	2300
ENSG00000147854	UHRF2	1358	2192	1288	1348	1713	1589	1893
ENSG00000147862	NFIB	2349	3771	2131	2250	2973	2835	3670
ENSG00000147869	CER1	1	0	0	0	0	0	0
ENSG00000147872	PLIN2	6520	10855	6240	6071	7933	7922	9035
ENSG00000147873	IFNA5	0	0	0	0	0	1	0
ENSG00000147874	HAUS6	3660	5975	3663	3659	4366	4274	5256
ENSG00000147889	CDKN2A	207	358	183	200	161	97	158
ENSG00000147894	C9orf72	469	760	448	408	541	567	617
ENSG00000147905	ZCCHC7	918	1583	952	848	1196	1188	1345
ENSG00000147912	FBXO10	533	923	533	547	727	697	904
ENSG00000147955	SIGMAR1	3435	5831	3702	3705	5882	5614	7204
ENSG00000147996	CBWD5	325	663	400	406	461	498	509
ENSG00000148019	CEP78	1013	1507	908	901	1266	1050	1483
ENSG00000148053	NTRK2	0	6	4	0	4	7	11
ENSG00000148057	IDNK	40	57	50	40	69	42	67
ENSG00000148082	SHC3	31	48	28	43	37	21	33
ENSG00000148090	AUH	310	498	319	294	333	303	339
ENSG00000148110	MFSD14B	2169	3388	2214	2141	2809	2646	3359
ENSG00000148120	AOPEP	240	345	249	273	289	317	386
ENSG00000148123	PLPPR1	2	1	0	0	0	3	2
ENSG00000148143	ZNF462	1852	2867	1643	1857	2181	2280	2684
ENSG00000148153	INIP	639	1105	675	656	1141	1110	1469
ENSG00000148154	UGCG	2088	3285	1967	1959	2894	2766	3448
ENSG00000148156	ACTL7B	0	0	0	0	0	1	0
ENSG00000148158	SNX30	1590	2521	1444	1524	2218	2195	2722
ENSG00000148175	STOM	6493	10601	6290	6165	8305	8030	9256
ENSG00000148180	GSN	44181	75031	42321	41135	46743	45681	48549
ENSG00000148187	MRRF	784	1192	758	752	1013	986	1285
ENSG00000148200	NR6A1	223	339	181	172	261	216	272
ENSG00000148204	CRB2	5	12	5	4	5	3	8
ENSG00000148218	ALAD	1250	2078	1325	1297	1765	1688	2147
ENSG00000148219	ASTN2	222	330	213	228	277	271	311
ENSG00000148225	WDR31	230	355	200	203	275	244	324
ENSG00000148229	POLE3	1999	3435	2144	2133	3500	3234	4347
ENSG00000148248	SURF4	9091	15602	9722	9486	13130	12592	15843
ENSG00000148288	GBGT1	974	1523	970	996	1190	1158	1318
ENSG00000148290	SURF1	595	1013	657	591	736	747	864
ENSG00000148291	SURF2	501	849	526	530	1064	969	1311
ENSG00000148296	SURF6	2114	3474	2282	2120	3106	2145	3507
ENSG00000148297	MED22	1021	1699	1097	1050	1695	1471	2287
ENSG00000148300	REXO4	1429	2395	1583	1427	2042	1776	2337
ENSG00000148303	RPL7A	39041	68828	41488	40353	53536	54482	63568
