ensembl	symbol	IPC-DMSO-A	IPC-DMSO-B	IPC-DMSO-C	IPC-DMSO-D	IPC-GiB-A	IPC-GiB-B	IPC-GiB-C
ENSG00000162391	FAM151A	1	1	1	0	0	3	0
ENSG00000162396	PARS2	328	451	238	350	217	266	289
ENSG00000162399	BSND	0	0	1	0	2	0	0
ENSG00000162402	USP24	3340	4804	2812	3767	2833	2953	3260
ENSG00000162407	PLPP3	884	1204	680	985	644	718	727
ENSG00000162408	NOL9	1492	1805	945	1447	1013	1077	1270
ENSG00000162409	PRKAA2	1	1	0	1	1	2	1
ENSG00000162413	KLHL21	4865	6369	3220	4587	3474	3852	4520
ENSG00000162415	ZSWIM5	10	11	5	11	3	10	8
ENSG00000162419	GMEB1	712	895	540	768	527	626	650
ENSG00000162426	SLC45A1	7	8	12	18	6	13	17
ENSG00000162430	SELENON	10481	13870	8328	12854	8278	8713	8765
ENSG00000162433	AK4	2025	2687	1889	2814	1927	1961	1776
ENSG00000162434	JAK1	3592	5468	3259	5244	3270	3541	3296
ENSG00000162437	RAVER2	1270	1818	1139	1538	987	1117	1141
ENSG00000162438	CTRC	28	24	12	29	8	13	15
ENSG00000162441	LZIC	2264	2955	1748	2475	1742	1912	2095
ENSG00000162444	RBP7	130	164	94	133	94	96	102
ENSG00000162458	FBLIM1	318	343	257	389	216	276	219
ENSG00000162461	SLC25A34	192	250	116	198	90	106	125
ENSG00000162482	AKR7A3	135	168	119	166	120	135	126
ENSG00000162490	DRAXIN	10	18	11	11	10	8	8
ENSG00000162493	PDPN	1	0	0	0	0	0	0
ENSG00000162496	DHRS3	609	827	554	735	459	532	518
ENSG00000162510	MATN1	14	20	11	20	11	14	15
ENSG00000162511	LAPTM5	1	2	1	4	0	1	0
ENSG00000162512	SDC3	37404	49934	30237	44512	27622	29553	30754
ENSG00000162517	PEF1	2102	2825	1676	2453	1687	1888	2019
