ensembl	symbol	D15-shGCN2-5BM	D15-shGCN2-5NM	D15-shGCN2-6BM	D15-shGCN2-6NM	D15-shScr-1BM	D15-shScr-1L1	D15-shScr-1R1	D15-shScr-2L1
ENSG00000008226	DLEC1	0	0	1	5	2	2	0	0
ENSG00000008256	CYTH3	729	929	1089	799	872	430	672	483
ENSG00000008277	ADAM22	202	238	185	128	172	132	106	148
ENSG00000008282	SYPL1	1419	1723	1510	1490	1335	967	1117	1250
ENSG00000008283	CYB561	1816	1644	2014	1618	1291	1138	1149	1442
ENSG00000008294	SPAG9	1488	2101	2369	1546	1409	775	1162	1084
ENSG00000008300	CELSR3	472	713	778	441	437	167	307	236
ENSG00000008311	AASS	309	629	588	298	370	437	474	371
ENSG00000008323	PLEKHG6	4	3	2	4	3	3	2	2
ENSG00000008324	SS18L2	417	437	377	408	332	324	334	359
ENSG00000008382	MPND	106	168	169	143	226	122	140	182
ENSG00000008394	MGST1	1734	2280	2467	2057	1073	592	1408	776
ENSG00000008405	CRY1	317	294	473	326	297	212	279	222
ENSG00000008438	PGLYRP1	1	1	0	1	2	0	0	0
ENSG00000008441	NFIX	4512	5679	5927	4067	3614	2053	2433	2264
ENSG00000008513	ST3GAL1	210	297	316	290	331	285	243	267
ENSG00000008516	MMP25	8	14	16	9	12	0	12	16
ENSG00000008517	IL32	47	140	175	130	112	37	203	62
ENSG00000008710	PKD1	1025	1361	1478	1026	1012	749	1081	748
ENSG00000008735	MAPK8IP2	0	10	0	0	0	0	0	0
ENSG00000008838	MED24	1359	1554	1799	1257	1140	830	894	1004
ENSG00000008853	RHOBTB2	546	596	749	443	379	123	244	266
ENSG00000008869	HEATR5B	593	771	780	547	539	512	442	517
ENSG00000008952	SEC62	1706	2012	1912	1795	1421	1552	1435	1442
ENSG00000008988	RPS20	20260	25726	25363	23451	23556	15060	19340	23002
ENSG00000009307	CSDE1	12395	15570	17971	12558	10550	5120	7890	8092
ENSG00000009335	UBE3C	2355	2470	2851	2119	1613	1171	1552	1562
ENSG00000009413	REV3L	340	471	500	169	306	135	205	163
ENSG00000009694	TENM1	32	16	12	12	50	205	9	125
ENSG00000009724	MASP2	8	7	8	10	7	3	4	5
ENSG00000009765	IYD	3	11	4	8	2	2	5	6
ENSG00000009780	FAM76A	232	241	254	235	198	167	192	184
ENSG00000009790	TRAF3IP3	13	8	7	18	6	11	4	6
ENSG00000009830	POMT2	307	282	325	270	236	228	195	155
ENSG00000009844	VTA1	1304	1364	1513	1218	925	813	845	905
ENSG00000009950	MLXIPL	3	3	4	3	3	3	0	10
ENSG00000009954	BAZ1B	2966	3195	3563	2689	2440	2139	2172	2096
ENSG00000010017	RANBP9	886	811	881	825	619	609	629	653
ENSG00000010030	ETV7	4	7	12	3	6	4	7	5
ENSG00000010072	SPRTN	393	378	375	319	237	262	212	210
ENSG00000010165	METTL13	1831	1663	1497	1177	1142	823	845	1177
ENSG00000010219	DYRK4	188	203	227	162	93	74	110	96
ENSG00000010244	ZNF207	3459	3806	4414	3398	2800	2346	2395	2943
ENSG00000010256	UQCRC1	4599	5526	5685	5045	3577	1985	3701	3501
ENSG00000010270	STARD3NL	1007	839	922	799	799	658	698	963
ENSG00000010278	CD9	1729	1986	2025	1953	1748	1507	1183	2406
ENSG00000010282	HHATL	1	0	0	0	0	0	0	0
ENSG00000010292	NCAPD2	4109	4759	5509	3934	2815	2120	2729	2597
ENSG00000010295	IFFO1	358	350	452	254	187	187	200	202
ENSG00000010310	GIPR	6	18	4	5	25	15	7	9
