protein_ids,symbols,description,log2FoldChange,log2_GiB,log2_DMSO,statistic,p.value,parameter,conf.low,conf.high,method,alternative,padj
E9PN35;Q96Q83;E9PRD0;E9PRJ2;E9PSA5,ALKBH3,Alpha-ketoglutarate-dependent dioxygenase alkB homolog 3,0.07336181170492395,16.08763663533972,16.014274823634796,1.3666227656552374,0.24375253238478636,3.986134529706173,-0.07588549500571463,0.22260911841556252,Welch Two Sample t-test,two.sided,0.3173382025386841
E9PN81;Q8TDP1,RNASEH2C,Ribonuclease H2 subunit C,0.07136575791885491,15.546482759176442,15.475117001257587,1.8338360256498336,0.13353512238127688,4.435600815953669,-0.0326238630590846,0.17535537889679445,Welch Two Sample t-test,two.sided,0.1931206707297857
E9PNL8;Q13574,DGKZ,Diacylglycerol kinase;Diacylglycerol kinase zeta,-0.0755636939725779,15.610602617434534,15.686166311407112,-1.1084192793640122,0.36067821453803084,2.565623087508837,-0.3148545727484133,0.16372718480325749,Welch Two Sample t-test,two.sided,0.4400233940623101
E9PNP3;Q9H7C9;E9PR47;E9PIQ4;E9PJP1;E9PLK9;K4DI89,AAMDC,Mth938 domain-containing protein,0.17078324696660907,15.357464352857361,15.186681105890752,2.786821678622223,0.0509902882557953,3.894339642284173,-0.0012002699971472837,0.3427667639303654,Welch Two Sample t-test,two.sided,0.09119818267850975
E9PP76;J3KNF4;O14618,CCS,Superoxide dismutase [Cu-Zn];Copper chaperone for superoxide dismutase,-0.05008968712923689,14.3056505706346,14.355740257763838,-0.70314138877408106,0.5283038699468704,3.3045489284169163,-0.265424070940198,0.1652446966817242,Welch Two Sample t-test,two.sided,0.6035259441446036
E9PPM8;Q9Y315;E9PML7;G3V158;E9PJ44;E9PJB9;E9PPK3;E9PMH9,DERA,Deoxyribose-phosphate aldolase,-0.1288247925716739,17.572462582387587,17.70128737495926,-2.847826521083999,0.047168037472126285,3.951401061849228,-0.2550321226020686,-0.0026174625412792086,Welch Two Sample t-test,two.sided,0.08571846011360904
E9PPN3;E9PS17;Q96KG9;E9PK59;A0A0A0MQX4;H0YDH0;H0YCI6,SCYL1,N-terminal kinase-like protein,0.02274342854937217,19.17444145853911,19.15169802998974,1.181692665669424,0.30254588265809873,4.015601493143629,-0.030611597509361575,0.07609845460810591,Welch Two Sample t-test,two.sided,0.37955756188016027
E9PPW7;O00217;E9PN51;F8W9K7;E9PKH6,NDUFS8,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial",-0.02376911283325356,17.6073790862138,17.631148199047054,-0.2761320732039563,0.793791556236138,4.864820578138979,-0.24690385843391613,0.199365632767409,Welch Two Sample t-test,two.sided,0.8345314596837023
E9PPX2;P15407,FOSL1,Fos-related antigen 1,0.7066040928809443,17.94289060581446,17.236286512933514,12.094937498348417,6.981632598664646e-5,4.982478432851016,0.5562679243722966,0.856940261389592,Welch Two Sample t-test,two.sided,0.0014436782865692983
E9PQ57;P78406;E9PPG9;B0QZ36,RAE1,mRNA export factor,-0.22646414391236291,18.453234272370597,18.67969841628296,-6.4134530143818065,0.0020158682612621153,4.4963642952848435,-0.32037839179206157,-0.1325498960326643,Welch Two Sample t-test,two.sided,0.008821105776083554
